"Marca temporal","Selecciona tu plantel:","Selecciona tu sexo:","Mi edad:","Grado escolar que estudio:","¿Cómo es tu hogar?","Ademas de estudiar, ¿realizas algún trabajo?","¿Te sientes seguro/a en tu escuela?","Si requieres de ayuda, ¿cuentas con personas dispuestas a auxiliarte en tu escuela?","¿Te sientes seguro/a en tu casa?","Si requirieras ayuda en tu hogar, ¿cuentas con personas dispuestas a auxiliarte? ","En el último mes, has sentido de manera continua:","¿Te gustaría hablar con un profesional de la salud sobre alguna(s) de esta(s) emociones que has sentido?","¿Experimentas alguna situación emocional en tu vida que interfiera con la capacidad para trabajar, estudiar, dormir, comer y disfrutar de actividades?","¿Con qué frecuencia experimentas sensaciones de bienestar/seguridad/alegría en tu vida diaria?","¿De qué temas relacionados a la sana convivencia y salud mental te gustaría conocer más?","¿Haz tenido relaciones sexuales?","¿Estuviste de acuerdo en tener relaciones sexuales?","¿A qué edad tuviste tu primera relación sexual? ","La última vez que tuviste relaciones sexuales, ¿tu pareja o tú utilizaron condón o preservativo masculino o femenino?","¿Alguna vez ha sido diagnosticado con una enfermedad de transmisión sexual?","En los últimos 12 meses, ¿has tenido o sentido alguno de los siguientes síntomas? ","¿Existe algo relacionado a tu sexualidad que cause preocupación o estrés en tu vida?","De los siguientes temas, ¿cuál te gustaría conocer un poquito más?","En los últimos 12 meses, ¿participaste en alguna pelea con otros jóvenes?","Durante el mes pasado, ¿alguna vez tomaste alcohol como para sentirte borracho/a?","¿Tienes novio o novia?","¿Cuanto tiempo llevas en tu noviazgo","¿Como evaluas la relación con tu pareja?","Durante los últimos 12 meses, tu pareja intencionalmente ¿te golpeo, abofeteo, o te dañó físicamente de alguna manera?","¿Solicitaste ayuda, a alguien?","¿Alguna vez en tu vida, has consumido alguna droga?","Que sustencia has consumido:","Sientes que el consumo de alguna de las sustancias que has mencionado, ¿te ha causado algún problema en tu vida cotidiana?","¿Te gustaría hablar con un profesional de salud acerca de las adicciones?"
"2022/03/07 9:36:08 a. m. GMT-5","CECyTE Plantel No. 13 - Pob. C-34 ""Lic. Benito Juárez García""","Masculino","17","Segundo año (tercer o cuarto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","No","Sí","Sí","No, no he sentido nada, me siento muy bien","Me gustaria hablar con un especialista","No","Muchas veces","Manejo de la frustración","No","","","","","Dolor al orinar o ganas de orinar muy frecuentes","No","Sexualidad plena y responsable","No","Sí","No","","","","","No","","",""
"2022/03/07 9:46:04 a. m. GMT-5","CECyTE Plantel No. 13 - Pob. C-34 ""Lic. Benito Juárez García""","Masculino","18","Tercer año (quinto o sexto semestre)","Vivo con otros miembros de la familia (hermanos, tios, abuelos)","Sí","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","No","Nunca","Manejo de la frustración","Sí","Sí","17","Sí","No","Ninguna de las anteriores, me he sentido bien","No","Métodos anticonceptivos","No","No","No","","","","","Sí","Marihuana","No","No estoy interesado(a)"
"2022/03/07 9:49:32 a. m. GMT-5","CECyTE Plantel No. 13 - Pob. C-34 ""Lic. Benito Juárez García""","Femenino","15 ","Primer año (primer o segundo semestre)","Vivo con otros miembros de la familia (hermanos, tios, abuelos)","No","Sí","No","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","No","Algunas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/07 9:53:38 a. m. GMT-5","CECyTE Plantel No. 13 - Pob. C-34 ""Lic. Benito Juárez García""","Masculino","16","Segundo año (tercer o cuarto semestre)","Vivo con otros miembros de la familia (hermanos, tios, abuelos)","No","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","Si","Muchas veces","Depresión y ansiedad","No","","","","","Dolor al orinar o ganas de orinar muy frecuentes","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/07 10:00:20 a. m. GMT-5","CECyTE Plantel No. 13 - Pob. C-34 ""Lic. Benito Juárez García""","Femenino","16","Segundo año (tercer o cuarto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","Tristeza","No estoy interesado(a)","No","Algunas veces","Buen trato y compañerismo","Sí","Sí","15","No","No","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/07 10:02:45 a. m. GMT-5","CECyTE Plantel No. 13 - Pob. C-34 ""Lic. Benito Juárez García""","Masculino","17 año","Segundo año (tercer o cuarto semestre)","Vivo con mi padres o solo con alguno de ellos.","Sí","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","No","Algunas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Enfermedades de transmisión sexual","No","No","No","","","","","No","","",""
"2022/03/07 10:20:04 a. m. GMT-5","CECyTE Plantel No. 15 - Pob. C-10 ""Gral. Lázaro Cárdenas Del Río""","Femenino","15","Primer año (primer o segundo semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","Ansiedad","No estoy interesado(a)","No","Muchas veces","Manejo de la frustración","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/07 10:25:21 a. m. GMT-5","CECyTE Plantel No. 15 - Pob. C-10 ""Gral. Lázaro Cárdenas Del Río""","Femenino","18 años ","Primer año (primer o segundo semestre)","Vivo con otros miembros de la familia (hermanos, tios, abuelos)","Sí","Sí","No","Sí","No","Ansiedad","No estoy interesado(a)","No","Algunas veces","Manejo de la frustración","Sí","No","14 ","Sí","No","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","Sí","Sí","Menos de 6 meses","9","No","No","Sí","Marihuana","No","No estoy interesado(a)"
"2022/03/07 10:33:26 a. m. GMT-5","CECyTE Plantel No. 13 - Pob. C-34 ""Lic. Benito Juárez García""","Femenino","17","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","Enojo o rabia","No estoy interesado(a)","No","Muchas veces","Depresión y ansiedad","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/07 10:33:42 a. m. GMT-5","CECyTE Plantel No. 13 - Pob. C-34 ""Lic. Benito Juárez García""","Femenino","16 años ","Segundo año (tercer o cuarto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","Me gustaria hablar con un especialista","No","Pocas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/07 10:34:50 a. m. GMT-5","CECyTE Plantel No. 13 - Pob. C-34 ""Lic. Benito Juárez García""","Femenino","16","Segundo año (tercer o cuarto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","No","Muchas veces","Buen trato y compañerismo","Sí","Sí","16","Sí","No","Ninguna de las anteriores, me he sentido bien","No","Enfermedades de transmisión sexual","No","No","Sí","Entre 6 meses y un año","9","No","No","No","","",""
"2022/03/07 10:35:32 a. m. GMT-5","CECyTE Plantel No. 13 - Pob. C-34 ""Lic. Benito Juárez García""","Masculino","18 años","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","No","Sí","Sí","No, no he sentido nada, me siento muy bien","Me gustaria hablar con un especialista","Si","Muchas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/07 10:35:33 a. m. GMT-5","CECyTE Plantel No. 13 - Pob. C-34 ""Lic. Benito Juárez García""","Masculino","15","Primer año (primer o segundo semestre)","Vivo con mi padres o solo con alguno de ellos.","Sí","Sí","No","Sí","Sí","Tristeza","No estoy interesado(a)","No","Algunas veces","Depresión y ansiedad","No","","","","","Dolores o ampollas en los órganos genitales","Sí","Métodos anticonceptivos","Sí","No","No","","","","","No","","",""
"2022/03/07 10:36:27 a. m. GMT-5","CECyTE Plantel No. 13 - Pob. C-34 ""Lic. Benito Juárez García""","Femenino","15","Primer año (primer o segundo semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","Felicidad","No estoy interesado(a)","No","Muchas veces","Depresión y ansiedad","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Métodos anticonceptivos","No","No","No","","","","","No","","",""
"2022/03/07 10:37:01 a. m. GMT-5","CECyTE Plantel No. 15 - Pob. C-10 ""Gral. Lázaro Cárdenas Del Río""","No me identifico con ninguna de las 2 anteriores","16","Segundo año (tercer o cuarto semestre)","Vivo con mi padres o solo con alguno de ellos.","Sí","No","No","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","Si","Algunas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/07 10:38:37 a. m. GMT-5","CECyTE Plantel No. 13 - Pob. C-34 ""Lic. Benito Juárez García""","Femenino","17","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","No","Sí","No","Sí","Tristeza;Ansiedad;Enojo o rabia","Me gustaria hablar con un especialista","Si","Pocas veces","Depresión y ansiedad","No","","","","","Dolor al orinar o ganas de orinar muy frecuentes;Picazón en la vulva o área genital externa","No","Sexualidad plena y responsable","No","Sí","No","","","","","Sí","Marihuana","No","No estoy interesado(a)"
"2022/03/07 10:39:45 a. m. GMT-5","CECyTE Plantel No. 13 - Pob. C-34 ""Lic. Benito Juárez García""","Masculino","16","Segundo año (tercer o cuarto semestre)","Vivo con mi padres o solo con alguno de ellos.","Sí","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","Me gustaria hablar con un especialista","No","Algunas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Métodos anticonceptivos","No","No","No","","","","","No","","",""
"2022/03/07 10:39:50 a. m. GMT-5","CECyTE Plantel No. 13 - Pob. C-34 ""Lic. Benito Juárez García""","Femenino","17","Tercer año (quinto o sexto semestre)","Vivo con otros miembros de la familia (hermanos, tios, abuelos)","Sí","Sí","Sí","Sí","Sí","Tristeza","Me gustaria hablar con un especialista","No","Nunca","Depresión y ansiedad","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Métodos anticonceptivos","No","Sí","No","","","","","Sí","Marihuana","No","Ya estoy en contacto con un especialista"
"2022/03/07 10:40:36 a. m. GMT-5","CECyTE Plantel No. 13 - Pob. C-34 ""Lic. Benito Juárez García""","Masculino","18 años","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","No","Sí","Sí","No, no he sentido nada, me siento muy bien","Me gustaria hablar con un especialista","Si","Muchas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/07 10:40:43 a. m. GMT-5","CECyTE Plantel No. 13 - Pob. C-34 ""Lic. Benito Juárez García""","Masculino","16","Primer año (primer o segundo semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","Me gustaria hablar con un especialista","No","Algunas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Enfermedades de transmisión sexual","No","No","No","","","","","No","","",""
"2022/03/07 10:41:59 a. m. GMT-5","CECyTE Plantel No. 13 - Pob. C-34 ""Lic. Benito Juárez García""","Femenino","17","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","No","Sí","No","Sí","Tristeza;Ansiedad;Enojo o rabia","Me gustaria hablar con un especialista","Si","Pocas veces","Depresión y ansiedad","No","","","","","Dolor al orinar o ganas de orinar muy frecuentes;Picazón en la vulva o área genital externa","No","Sexualidad plena y responsable","No","Sí","No","","","","","Sí","Marihuana","No","No estoy interesado(a)"
"2022/03/07 10:44:54 a. m. GMT-5","CECyTE Plantel No. 13 - Pob. C-34 ""Lic. Benito Juárez García""","Masculino","17","Segundo año (tercer o cuarto semestre)","Vivo con mi padres o solo con alguno de ellos.","Sí","Sí","Sí","Sí","Sí","Feliz ","No estoy interesado(a)","No","Nunca","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Métodos anticonceptivos","No","No","No","","","","","No","","",""
"2022/03/07 10:49:41 a. m. GMT-5","CECyTE Plantel No. 13 - Pob. C-34 ""Lic. Benito Juárez García""","Masculino","16","Segundo año (tercer o cuarto semestre)","Vivo con mi padres o solo con alguno de ellos.","Sí","Sí","No","Sí","Sí","No, no he sentido nada, me siento muy bien","Ya estoy llegando con un especialista","Si","Pocas veces","Buen trato y compañerismo","Sí","Sí","16 jaja q paso pues","Sí","No","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/07 10:50:55 a. m. GMT-5","CECyTE Plantel No. 13 - Pob. C-34 ""Lic. Benito Juárez García""","Masculino","16","Segundo año (tercer o cuarto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","Enojo o rabia","Me gustaria hablar con un especialista","Si","Pocas veces","Depresión y ansiedad","No","","","","","Ninguna de las anteriores, me he sentido bien","Sí","Todos","Sí","Sí","Sí","Menos de 6 meses","10","No","No","No","","",""
"2022/03/07 10:54:27 a. m. GMT-5","CECyTE Plantel No. 13 - Pob. C-34 ""Lic. Benito Juárez García""","Femenino","17","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","Tristeza;Ansiedad;Enojo o rabia","Me gustaria hablar con un especialista","Si","Algunas veces","Depresión y ansiedad","Sí","Sí","17","Sí","No","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","Sí","Mas de 2 años","10","No","No","No","","",""
"2022/03/07 10:56:41 a. m. GMT-5","CECyTE Plantel No. 13 - Pob. C-34 ""Lic. Benito Juárez García""","Femenino","16 años","Segundo año (tercer o cuarto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","Me gustaria hablar con un especialista","No","Algunas veces","Depresión y ansiedad","No","","","","","Ninguna de las anteriores, me he sentido bien","Sí","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/07 10:57:07 a. m. GMT-5","CECyTE Plantel No. 13 - Pob. C-34 ""Lic. Benito Juárez García""","Femenino","17 Años","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","Sí","No","No","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","Si","Pocas veces","Buen trato y compañerismo","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Enfermedades de transmisión sexual","No","No","No","","","","","No","","",""
"2022/03/07 11:00:05 a. m. GMT-5","CECyTE Plantel No. 13 - Pob. C-34 ""Lic. Benito Juárez García""","Femenino","17","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","Ansiedad","No estoy interesado(a)","No","Muchas veces","Depresión y ansiedad","No","","","","","Ninguna de las anteriores, me he sentido bien","No","Sexualidad plena y responsable","No","No","No","","","","","No","","",""
"2022/03/07 11:01:18 a. m. GMT-5","CECyTE Plantel No. 13 - Pob. C-34 ""Lic. Benito Juárez García""","Masculino","17","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","Sí","Sí","No","No","Sí","Ansiedad;No, no he sentido nada, me siento muy bien","No estoy interesado(a)","No","Algunas veces","Depresión y ansiedad","No","","","","","Ninguna de las anteriores, me he sentido bien","Sí","Sexualidad plena y responsable","No","No","No","","","","","Sí","Cigarro","No","No estoy interesado(a)"
"2022/03/07 11:13:38 a. m. GMT-5","CECyTE Plantel No. 13 - Pob. C-34 ""Lic. Benito Juárez García""","Femenino","18","Tercer año (quinto o sexto semestre)","Vivo con mi padres o solo con alguno de ellos.","No","Sí","Sí","Sí","Sí","No, no he sentido nada, me siento muy bien","No estoy interesado(a)","Si","Algunas veces","Buen trato y compañerismo","Sí","Sí","17","No","No","Ninguna de las anteriores, me he sentido bien","No","Enfermedades de transmisión sexual","No","No","Sí","Mas de 2 años","9","No","No","Sí","Marihuana","No","No estoy interesado(a)"
